pictogram_label,pictogram_file,pictogram_category,pictogram_metadata
A des dettes,a_des_dettes,15.5.0;3.2.0;10.0.0,argent;pauvre;endetté;débiteur;créancier;payer;charges
A un animal,a_un_animal,7.1.5;13.9.0,chien;chat;lapin;poule;vétérinaire;animal de compagnie;dresser
Abondance des règles,abondance_des_saignements,16.3.0;2.20.0,règles;menstruations;cycle menstruel
Abondance des règles 2,abondance_des_saignements_2,2.20.0;16.3.0,règles;menstruations;cycle menstruel
Abricot,abricot,1.1.0,abricot;fruit
Acariens,acariens,2.5.0;13.9.0;2.2.0;2.5.0,logement;insalubrité;nuisible;insecte
Accouchement hôpital,accouchement_a_l_hopital,16.1.0;2.23.0;16.4.0;2.22.0,accouchement;hopital;maternité
Accouchement,accouchement_a_l_hopital,16.1.0;2.23.0,accoucher;enceinte;maison;grossesse;sage-femme;bébé;naissance
Accouchement maison,accouchement_a_la_maison,16.1.0;2.23.0,accouchement;émotion;vécu;femme;grossesse;bébé;accoucher
Ressenti accouchement,accouchement_forceps,16.1.0;2.23.0,accouchement;accoucher;enfanter;donner naissance
Césarienne,accouchement_par_cesarienne,16.1.0;2.23.0,accouchement;accoucher;enfanter;donner naissance
Accouchement voie basse,accouchement_par_voie_basse,16.1.0;2.23.0,accouchement;accoucher;enfanter;donner naissance
Adolescent,adolescent,12.1.0;12.2.0;18.0.0,adolescent;crise;acnée
Afrique,afrique,13.1.0,continent;territoire;pays;origine;afrique
Age enfant,age_enfants,18.4.0,âge enfant;tranche d'âge;croissance
Agent métropolitain,agent_de_la_metropole,14.7.0;12.1.0,agent;fonctionnaire;interlocuteur;professionnel;accueil;métropole de lyon;métropole
Aider pour s'habiller,aide_habiller,13.7.0;5.1.0;2.30.0,mettre ses vêtements;enfiler ses vêtements;habits;se couvrir;personne âgée;handicap;aidant;aider;autonomie;dépendance
Aider pour se laver,aide_laver,13.7.0;5.1.0;20.1.0;20.4.0;19.4.0;2.30.0,hygiène;aidant;faire sa toilette;aider;autonomie;dépendance;personne âgée;handicap
Aider pour se lever,aide_lever,13.7.0;5.1.0;2.30.0,coucher;lever;dormir;lit;personne âgée;handicap;aidant;aider;autonomie;dépendance
Aider pour manger,aide_manger,13.7.0;5.1.0;1.9.0;2.30.0,manger;repas;se nourrir;s'alimenter;déjeûner;dîner;souper;petit-déjeuner;goûter;personne âgée;handicap;aidant;aider;autonomie;dépendance
Aide ménagère,aide_menagere,14.2.0;5.3.0;2.11.0;12.3.0,aide ménagère;femme de ménage;homme de ménage;ménage;aidant
Aides métropole,aides_deja_acquises,4.1.0;14.7.0,aides;acquises;allocations;primes d'activités
Droit et aide,aides_deja_acquises,19.2.0;20.1.0;4.1.0;4.2.0;15.5.0,aides;acquises;allocations;primes d'activités
Alcool,alcool,2.3.0;13.3.6;17.0.0;13.3.0,Alcool;boire;vin;whysky;rhum;vodka;gin;bière
Allaitement,allaitement,1.4.0;1.2.0;18.1.0;16.2.0,allaitement;lait;alimentation bébé;sein
Allaiter debout allongé,allaitement_debout_allonge,1.4.0;1.2.0;18.1.0;16.2.0,allaitement;position;debout : allongé
Allergie puce,allergie_aux_puces,2.7.0;13.9.0,allergie puce;insectes;ménage;acariens
Allergie chat,allergie_chat,13.9.0;2.7.0,allergie chat;animaux;poils;tousser
Allergie chien,allergie_chien,13.9.0;2.7.0,allergie chien;animaux;poils;tousser
Allergie pollen,allergie_pollen,2.7.0,allergie pollen;graminés;éthernuement;tousser;printemps
Allergie pollution,allergie_pollution,2.7.0,allergie pollution;air;asthme;pollution;éthernuement
Allergie poussière,allergie_poussiere,2.7.0,allergie poussière;ménage;asthme;éternuement;tousser
Allumer la lumière,allumer_la_lumiere,13.7.0;2.9.0,lumière;chambre;veilleuse;allumer;noir
Alphabet français,alphabet_francais,13.6.0,lettre;alphabet;épeler;nom;prénom;mot
Ambulance,ambulance,13.3.0;2.18.0;13.3.7;14.1.0,Service d'urgence;urgence médicale : Transport;ambulance;ambulance taxi;transport en ambulance
Amérique du Nord,amerique_du_nord,13.1.0,continent;territoire;pays;origine;amérique du nord;Etats-Unis;usa
Amérique du Sud,amerique_du_sud,13.1.0,continent;territoire;pays;origine;amérique du sud;latine
Appareil auditif,appareil_auditif,2.13.0;13.3.0,audition;entendre;perte de fréquences;malentendant;oreille;écouter
Appareil dentaire,appareil_dentaire,13.3.3;2.28.0;13.3.0,dents;dentiste;appareil dentaire
Appeler,appeler_composer_un_numero,13.7.0;5.1.0,téléphone;portable; ligne téléphonique;numéro;appeler;contact;proche;référent;smartphone;06
Araignée,araignee,13.9.0,insecte;piqûre
Ascenseur,ascenseur,13.3.0;7.1.2,monter;descendre;immeuble;étage;escalier
Asie,asie,13.1.0,continent;territoire;pays;origine;asie
Aspirateur,aspirateur,13.3.0;7.1.2;13.3.3;11.5.0;13.3.0,aspirateur;nettoyer;ménage;aspirer;poussière
Assiette,assiette,13.3.0;7.1.2;1.9.0;13.3.0;20.2.0,assiette;couvert;manger;à table ;repas
Assiette avec repas,assiette_avec_repas,1.0.0;13.3.2;13.3.0,manger;assiette;plat;couverts;ingrédients;nourriture;
Alimentation,assiette_avec_repas,19.1.0;20.2.0;1.3.0;5.2.0;15.4.0,manger;assiette;plat;couverts;ingrédients;nourriture;
Assistante sociale,assistant_social,14.2.012.3.0,assistante sociale;aides
Sécurité sociale,assurance_maladie,14.0.0,ameli;cpam;assurance;couverture;maladie;remboursement santé
Aubergine,aubergine,1.1.0,aubergine;fruits
Automne,automne,13.4.0,saison;automne;calendrier
Auxiliaire de vie,auxilliaire_de_vie,20.4.0;19.4.0;14.1.0;14.2.0;2.19.0;12.3.0;7.5.0,auxiliaire de vie;aide;assistance;aidant
Avion,avion,7.4.0;15.2.0;13.3.7;13.3.0,avion;jet;moyen de transport;voler
Avis d'imposition,avis_d_imposition,3.2.0;15.3.0,impôts : avis d'imposition
Babyphone,babyphone,13.3.1;2.9.0;18.5.0,babyphone;interphone
Baignoire,baignoire,13.3.3;2.2.0;13.3.0,bain;baignoire;se laver
Baignoire adulte,baignoire_2,13.3.3;2.2.0;13.3.0,bain;baignoire;se laver
Baignoire bébé,baignoire_bebe,13.3.1;18.5.0;13.3.3;2.2.0;13.3.0,baignoire;bébé;laver;bain;toilette;soins
Baignoire bébé,baignoire_bebe_2,13.3.1;18.5.0;13.3.3;2.2.0;13.3.0,baignoire;bébé;laver;bain;toilette;soins
Bains douches,bains_douches,2.2.0;15.4.0;14.3.0,Bains douches;prendre une douche;douche gratuite;se laver gratuitement
Banane,banane,1.1.0,banane;fruits;diarhée
Barre d'appui,barre_d_appui_douche,7.1.2;19.3.0;20.3.0,barre;appui;aider;soutien;douche;baignoire;se laver
Bas du corps femme,bas_du_corps_femme,2.17.0,femme;fille;bas; fesse;jambes;pied;sexe
Bas du corps homme,bas_du_corps_homme,2.17.0,homme;garçon;bas;fesse;jambes;pied;sexe
Bâteau,bateau,7.4.0;15.2.0;13.3.7;13.3.0,Bateau;navire
Bébé,bebe,12.1.0;12.2.0;18.0.0,bébé;nourrison
Enfant / bébé,bebe,12.1.0,bébé;nourrison
Bébé à 4 pattes,bebe_a_quatre_pattes,18.6.0;12.1.0;2.25.0,bébé à 4 pattes;position;se déplacer;marcher; 4 pattes
Bébé assis,bebe_assis,18.6.0;12.1.0;2.25.0,bébé assis;asseoir;position
Bébé au sein,bebe_au_sein,1.4.0;1.2.0;18.1.0,bébé;sein;allaitement;nourrir;alimentation 
Bébé dort,bebe_dort,2.9.0,sommeil;bébé;dormir;sieste
Bébé dort,bebe_dort_matelas,2.9.0,sommeil;bébé;dormir;sieste
Bébé dort sur le dos,bebe_dort_sur_dos,2.9.0,sommeil;bébé;dormir;sieste
Bébé dort sur le ventre,bebe_dort_sur_ventre,2.9.0,sommeil;bébé;dormir;sieste
Mal aux oreilles bébé,bebe_douleurs_aux_oreilles,18.4.0;2.6.0;2.13.0,mal aux oreilles;bébé;audition
Fatigue bébé,bebe_fatigue,13.2.0;12.1.0;2.9.0,bébé;fatigue;repos;sommeil
Fatigue bébé,bebe_fatigue_2,13.2.0;12.1.0;2.9.0,bébé;fatigue;repos;sommeil
Mal à la gorge bébé,bebe_mal_de_gorge,18.4.0;2.6.0;2.13.0,douleur;mal à la gorge;gorge;toux;bébé
Toux bébé,bebe_mal_de_gorge_et_toux,2.6.0;18.4.0,toux bébé;tousser;rhume;gorge
Mal à la tête bébé,bebe_mal_de_tete,18.4.0;2.6.0;2.13.0,mal à la tête;bébé;crâne;douleur
Nez qui coule bébé,bebe_nez_qui_coule,18.4.0;2.6.0;2.13.0,nez qui coule;rhume;bébé;se moucher
Bébé marche,bebe_qui_marche,18.6.0;12.1.0;2.25.0,bébé marche;se déplacer;debout
Bébé tient le doigt,bebe_qui_tient_le_doigt,2.25.0,bébé tient le doigt;s'accrocher;marcher;se déplacer
Bébé sur le côté,bebe_sur_le_cote,18.6.02.25.0,bébé;nourrison;allongé
Bébé de face,bebe_sur_le_dos,18.6.02.25.0,bébé;nourrison;allongé
Bébé sur le ventre,bebe_sur_le_ventre,18.6.02.25.0,bébé;nourrison;allongé
Bébé tête en bas,bebe_tete_en_bas,16.1.0;2.23.0;16.4.0;2.22.0,bébé;ventre;grossesse;tête en bas
Bébé tête en haut,bebe_tete_en_haut,16.1.0;2.23.0;16.4.0;2.22.0,bébé;en siège;fesses en bas;tête en haut;ventre
Bébé tête en haut ou bas,bebe_tete_en_haut_ou_en_bas,16.1.0;2.23.0;16.4.0;2.22.0,bébé;tête;accouchement;naissance
Berceau bébé,berceau_bebe,13.3.1;18.5.0;2.9.0;13.3.0,berceau;lit;bébé;couchage;dormir;sommeil;doudou;tétine;sucette
Besoin d'aide pour se déplacer,besoin_d_aide_pour_se_deplacer,13.7.0;5.1.0;19.4.0;5.1.0;2.30.0,marcher;se promener;déambuler;sortir dehors;bouger;s'aérer;personne âgée;handicap;aidant;aider;autonomie;dépendance
Besoins de première nécessité,besoins_premieres_necessites,15.4.0,manger;dormir;boire;vetements;hygiène;besoins;logement;maison;lien social;première nécessité;logement;accueil;entouré;référent;santé;laver;proche;entourage
Biberon,biberon,13.3.1;16.2.0;13.3.2;1.2.0;18.1.0;13.3.0,biberon;bébé;verre;plastique;lait;repas;nourriture;eau;tétine;allaitement
Biberon verre,biberon_verre,13.3.1;16.2.0;13.3.2;1.2.0;18.1.0;13.3.0,lait;bébé;enfant;tétine;allaiter;manger;boire;se nourrir
Biscuit,biscuit,1.5.0,biscuits;gateaux;sucre
Biseptine,biseptine,2.1.0,biseptine;flacon;jaune;désinfecter
Bleu cutané,bleu_hematome,2.24.0;2.5.0,bleu cutané;coup;bosse
Body,body,18.8.0;2.16.0,pyjama;body
Boire,boire,1.7.0;13.7.0,boire;s'hydrater;hydratation
Boisson café,boisson_cafe,1.7.0,boisson chaude;café; décaféiné;caféine
Boisson chocolat,boisson_chocolat,1.7.0;1.5.0,boisson chaude;chocolat chaud;cacao
Boisson thé,boisson_the,1.7.0,boisson chaude;thé;théine
Boîte à repas,boite_a_repas,13.3.2,manger;lunchbox;repas à emporter;travail;transport;tupperware
Boîte aux lettres,boite_aux_lettres,13.3.4;7.1.5;13.3.0,courrier;facteur;correspondance
Bon matelas ,bon_matelas_ferme,2.9.0,matelas;bébé;chambre bébé;souple
Bonbons,bonbon_sucette,1.5.0,bonbons;sucre;gourmandises
Bonheur,bonheur,2.10.0;13.2.0;12.3.0,émotion;mental;état;psychologie;sentiment;content : joie;bonheur;sourire;heureux;épanoui
Bouche,bouche_sur_visage,2.17.0;2.14.0,bouche;lèvres;dents;manger
Boutons de vêtement,boutons_de_vetement,2.16.0;18.8.0;13.3.8;13.3.0,boutons;fermer;pressions;attacher
Boutons bras,boutons_sur_bras,2.5.0,bouton bras;pustule;bosse 
Boutons corps,boutons_sur_corps,2.5.0,boutons corps;eczema;plaques rouges
Bracelet de téléassistance,bracelet_de_teleassistance,2.11.0;2.19.0;20.3.0;19.4.0;13.3.6;19.3.0;20.4.0,bracelet : téléassistance;aide;urgent;urgence;bouton;alerte;collier;SOS
Brocolis,brocolis,1.1.0,brocolis;légumes
Brosse à biberon,brosse_a_biberon,13.3.1,biberon;lait;nettoyer;brosse;goupillon;tétine
Brosse à cheveux,brosse_a_cheveux,2.2.0;13.3.0;13.3.0,se coiffer;se faire beau;se faire belle;barette;chouchou;tête;coiffeur
Brosse à dents,brosse_a_dents,2.2.0;13.3.0;13.3.0;13.3.3,dentifrice;dents;nettoyer;hygiène;brosse à dent;brossage;dentiste
Brosse à dents et dentifrice,brosse_a_dents_et_dentifrice,2.2.0;13.3.0;13.3.0;13.3.3,dentifrice;dents;nettoyer;hygiène;brosse à dent;brossage;dentiste
Brulûre,brulure,2.5.0;2.24.0,brulûre;cuisine;danger;blessure
Transport,bus,7.4.0;13.3.7;15.2.0;13.3.0,bus;car;autobus;TCL;transports en commun;voyager
Buste femme,buste_femme,2.17.0,femme;buste;haut du corps;poitrine;épaules;fille;bras
Buste homme,buste_homme,2.17.0,homme;buste;haut du corps;pectauraux;épaules;garçon;bras
Cafard,cafard,2.5.0;13.9.0;2.2.0;2.5.0,Logement;insalubrité;nuisible;insecte
Caisse allocation familiale,caisse_d_allocations_familiales,"14.5.0;3,.2.0",CAF;Caisse d'Allocation Familiale;allocations
Canapé,canape,13.3.0;7.1.2;13.3.0,canapé;salon;assis;TV;repos;aliter
En cas de canicule,canicule,18.9.0;2.29.0,chaleur;insolation;déshydratation;soleil;sécheresse;coup de soleil
Cannabis,cannabis,2.3.0;17.0.013.3.0,canabis;shit;marijuana;chanvre;hachisch;drogue
Canne,canne,19.3.0;20.3.0;13.3.9;13.3.0;,canne;bâton;aide pour se déplacer
Cantine,cantine,18.1.0;1.4.0,cantine;manger;restaurant;alimentation;école
Carnet de santé,carnet_de_sante,3.5.0;2.26.0;18.0.0,carnet de santé;carnet;santé
Carotte,carotte,1.1.0,carotte;légumes;diarhée
Carte assurance maladie,carte_assurance_maladie,3.5.0,carte d'assurance maladie;carte vitale;CMU;mutuelle;carte de mutuelle;papier administratif;pièce administrative;santé;soins;assurance;PUMA
Carte bleue,carte_bleue,15.5.0;3.2.0;10.0.0,argent;payer;mode de paiement;CB;carte bancaire
Stationnement handicapé,carte_de_stationnement_handicape,3.5.0;19.2.0,Carte de stationnement;CMI;carte mobilité inclusion
Carte régions,france,13.1.0,carte;France;régions
Administratif,carte_identite,15.3.0;3.3.0;13.3.0,carte d'identité;papier;CNI;carte nationale;nationalité;pays;document;papier administratif;pièce administrative
Carte de mutuelle,carte_mutuelle_sante_complementaire,3.5.0,Carte de mutuelle;Mutuelle santé;mutuelle complémentaire;carte de mutuelle santé complémentaire
Carte Oura,carte_oura,3.1.0;7.4.0,carte SNCF;carte de train;carte RER;carte Oura
Carte SNCF,carte_sncf,3.1.0;7.4.0,carte SNCF;carte de train;carte RER;carte Oura
Carte Técély,carte_tecely,3.1.0;7.4.0,carte técély;carte de bus;carte de métro;carte de tramway;carte TCL;transports en communs lyonnais;SYTRAL
Casquette adulte,casquette_adulte,2.16.0;13.3.8;13.3.0,coup de soleil;chaleur;se protéger;insolation;faire attention;prévention;accessoire;vêtement;habit
Casquette enfant,casquette_enfant,18.8.0;18.9.0;2.29.0,soleil;bébé;se protéger;chaleur;vêtement;tête;coup de soleil;insolation
Poêle,casserolle_poele,13.3.0;7.1.2;1.9.0;19.1.0;20.2.0,plat;manger;repas;cuisiner;cuire;poêle;cuisson
CDHS,CDHS,14.1.02.19.0,Comité Départemental d'Hygiène Sociale;CDHS
Loisirs,centre_de_loisirs,8.2.0;18.2.0,
Centre de loisirs,centre_de_loisirs,20.0.0,loisirs;activités;enfants;lieux;sortie;jeux;centre de loisirs;activités extra-scolaire
Centre médico-psychiatrique,centre_medico_psychiatrique,14.1.0;2.10.0;2.19.0,CMP;Centre médico psychiatrique;psychologie;prise en charge
Cerise,cerise,1.1.0,cerise;fruit;noyau
Chaise,chaise,13.3.0;7.1.2;13.3.0;13.3.4,ameublement;chaise;assis;repas;table;bureau
Chaise de douche,chaise_de_douche,7.1.2;19.3.0;20.3.0,handicap;aide technique;autonomie;se laver;personne âgée;se doucher
Chaise haute bébé,chaise_haute_bebe,13.3.1;18.5.0;1.9.0;13.3.0,bébé;chaise haute;manger;repas;assis
Où dort l'enfant ?,chambre_parent_lit_bebe,2.9.0;18.10.0;7.1.2,chambre;lit;dormir;sommeil;dodo;coucher
Champignon,champignons,1.1.0,champignons;légumes
Charger le téléphone,charger_le_telephone,13.7.0;5.1.0,batterie;chargeur;téléphone;portable;éteint;charger
Chauffe-lait,chauffe_lait,1.4.0;13.3.1;18.5.0,biberon;température;chauffer;chauffe-lait
Chaussettes,chaussettes,2.16.0;18.8.0;13.3.8;13.3.0,pieds;chaussette;chaud;chaussures;contention;chausson
Chaussure à lacets,chaussures_a_lacets,2.16.0;18.8.0;13.3.8;13.3.0,pieds;chaussure;lacets;basket;marcher
Chèque,cheque,15.5.0;3.2.0;10.0.0,argent;payer;mode de paiement;RIB;chèque;banque
Chèque,cheque_2,15.5.0;3.2.0;10.0.0,argent;paiement;frais;dépense
Cheveux,cheveux,2.17.0,cheuveux;long;court;perte;crâne;cuir chevelu
Chèvre,chevre,1.6.0;13.9.0,chèvre;animal
Chez un ami/famille,chez_un_ami_ou_de_la_famille,7.1.1;7.1.5;15.8.0,dors chez un ami;dors chez la famille
Chips,chips,1.5.0,chips;gras;gateaux salés;apéritif
CIDAG,cidag,14.1.0;2.21.0;2.19.0,CIDAG;centre de dépistage;Centre d'Information et de Dépistage Anonyme et Gratuit;maladie sexuellement transmissible;MST;SIDA;VIH;AIDS;HIV;Hépatite;séxualité;rapports exuels;protection;prévention
Cigarette,cigarette,2.3.0;13.3.6;17.0.0;13.3.0,cigarette;tabac;clope
5 sens,cinq_sens,2.14.0,cinq sens;sens;toucher;odorat;vue;goût;ouïe;5 sens
Citron,citron,1.1.0,citron;fruit;acide
Clémentine,clementine,1.1.0,clémentine;fruit
Colère,colere,2.10.0;13.2.0;12.3.0,émotion;mental;état;psychologie;sentiment;colère;énervement;rage
Nombre d'adultes,combien_d_adultes,12.2.0;13.8.0,adultes;nombres;combien;frères;soeurs;famille
Nombre d'enfants,combien_d_enfants,12.2.0,enfants;nombres;combien;frères;soeurs;bébés;famille
Combien d'habitants,combien_d_habitants_dans_le_logement,7.1.5;13.8.0;15.1.0;12.2.0,nombre d'habitants;famille;combien;logement
Ressenti accouchement,comment_a_ete_vecu_l_accouchement,16.1.0;2.23.0,accouchement;émotion;vécu;femme;grossesse;bébé;accoucher
Compote,compote,1.4.0;18.1.0,compote;purée;fruits;texture 
Comptine,comptine,13.7.0;8.1.0;18.10.0;2.25.0,chanter;comptine;enfant;chanson
Concombre,concombre,1.1.0,concombre ; légumes
Confiture,confiture,1.1.0;1.5.0,confiture;sucre;tartines
Conseiller conjugual,conseiller_conjugal_famillial,14.2.0;15.5.0;15.6.0,conseillère conjuguale familiale;conseiller conjugual familial
Console de jeux,manette_de_console,13.3.0;7.1.2;8.1.0;13.3.5,enfant;jeux;console de jeux;écran;manette
Console de jeux portable,console_de_jeux,13.3.0;7.1.2;8.1.0;13.3.5,enfant;jeux;console de jeux;écran;portable
Consommation alcool,consommation_alcool,2.3.0;17.0.013.3.0,alcool;boire;danger;verre
Consommation tabac,consommation_de_tabac,2.3.017.0.0,tabac;cigarette;fumer;danger
Contacts au pays,contact_au_pays,15.1.0,contacts avec la famille au pays;famille restée au pays;parents;enfants;cousins;grand-parents;émigré;immigré;migrant
Content,content,2.10.0;13.2.0;12.3.0,émotion;content;satisfait; heureux
Sexualité,contraception,2.21.0,contraception;moyen de contraception
Corps femme de dos,corps_femme_dos,2.17.0,silhouette;femme;corps;entier;dos;arrière;fesses;fille
Corps femme de face,corps_femme_face,2.17.0,silhouette;femme;corps;entier;ventre;face;avant;fille
Corps homme de dos,corps_homme_dos,2.17.0,silhouette;homme;corps;entier;dos;arrière;fesses;garçon
Parties du corps,corps_homme_face,2.17.0,silhouette;homme;corps;entier;ventre;face;avant;garçon
Cosy bébé,cosy,13.3.1;18.5.0;2.9.0;13.3.0,enfant;siège auto;voyager;transporté
Cotons tiges,cotons_tiges,2.13.0;2.2.0;13.3.0;13.3.3,cotons tiges;oreilles;nettoyer;hygiène;cure-oreille;sebum
Couche pour bébé,couche_bebe,13.3.1;2.2.0;2.8.0;13.3.0,couche;enfant;bébé;excrément
Couche sale,couche_sale,2.2.0;13.3.3,pipi;faire caca;chier;urine;selles;bébé;enfant;nourisson;personne âgée ; vieux
Couper la nourriture,couper_les_aliments,13.7.0;5.1.0;20.2.0,Couper les aliments;découper
Couple,couple,12.2.0,deux parents;couple;marié;pacsé
Coupure cutanée,coupure,2.5.0;2.24.0,coupure cutanée;coupure superficiel;saignement 
Courgette,courgette,1.1.0,courgette;légumes
Courgette,courgette_2,1.1.0,courgette;légumes
Couteau,couteau,13.3.0;7.1.2;1.9.0;20.2.0,couteau;couverts;manger;repas;couper
Crèche,creche,18.3.0;7.2.0,crèche;garde d'enfant
Crèche,creche_2,18.3.0;7.2.0,crèche;garde d'enfant
Crevette,crevette_fruits_de_mer,1.6.0;13.9.0,crevette;poisson;crustacés
Croix rouge,croix_rouge_francaise,14.1.0;14.2.0;15.5.0;15.6.0,aide humanitaire;médecin;médicament;première nécessité;migrant;sans papier;demandeur d'asile;secours;guerre;conflit
Cuillère,cuillere,13.3.0;7.1.2;1.9.0;20.2.0,cuillère;enfant;manger;couvert;repas
Dosage médicament,cuillere_doseuse_medicament,2.1.0;13.3.1;13.3.0,médicament;dosage;cuillère;mesurer;quantité
Cuisinière,cuisiniere,13.3.0;7.1.2;1.9.0;20.2.0;13.3.4,cuisinière;cuisiner;cuisine;chauffer;plat;four;plaque de cuisson; manger
Culotte,culotte,13.3.2;13.3.5;13.3.4;13.3.0;13.3.0,slip;boxer;femme;fille;adolescente;string;tanga;vêtement;habit;s'habiller
Dans la rue,dormir_dans_la_rue,7.1.1;7.1.5;15.8.0,sans domicile fixe;sdf;dormir dans la rue
Dans un squat,dans_un_squat,7.1.1;7.1.5;15.8.0,sans domicile fixe;squat;dors dans la rue
Abondance des règles,date_dernieres_regles,2.20.0;16.3.0,règles;menstruations
Déambulateur,deambulateur,19.3.0;20.3.0;13.3.9;13.3.0,déambulateur;aide pour se déplacer
Déclaration de grossesse,declaration_de_grossesse,2.22.0;16.4.0;16.1.0;2.23.0;3.5.0;14.1.0,enceinte;accouchement;enfant
Décrocher,decrocher_le_telephone,13.7.0;5.1.0,bouton;sonnerie;alarme;décrocher;répondre;prendre un appel;raccrocher;téléphone;portable;ligne téléphonique;appeler;joindre;téléphoner
Déguisement,deguisement,2.25.0;8.1.0;13.3.1,loisirs;jeux;actvités;déguisements;enfant;jeux de rôles
Délire et hallucination,delire_hallucination,2.10.0;13.2.0;12.3.0,délire;hallucination;psychose;schizophrénie;psychopathologie;démence;psychologie;maladie;handicap
Démarche dématérialisée,demarches_dematierialisees,15.3.0;3.0.0,démarche;démarche en ligne;formulaire en ligne;dématérialisation;dématerialisé;électronique;numériser;scanner;ordinateur;internet;web;papiers;document;papier administratif;pièce administrative
Démenagement,demenagement,7.1.0;13.7.0,partir;emménager;déménager;camion;cartons : logement
Dents,dent,2.17.0;2.28.0;2.6.0,dents;dentiste;carries;brosse à dents;bouche
Dent cassée,dent_cassee,2.28.0;2.6.0,dents cassée;dentition;dentiste;douleurs
Dentier,dentier,13.3.3;2.2.0;13.3.0,dent;dentition;vieux;personne âgée;dentier
Dentifrice,dentifrice,2.2.0;13.3.0;13.3.0,dentifrice;dents;nettoyer;hygiène;brosse à dent;brossage;dentiste
Dentiste,dentiste,14.1.0;2.19.0;12.3.0,dentiste;dents;carries
Dentition bonne,dentition_bonne,2.28.0,dents;dentition bonne;dentiste 
Dents sales,dents_sales,2.28.0,dents sales;dentition;dentiste;carries 
Dépression,depression,2.10.0;13.2.0;12.3.0,dépression;bipolarité;déprime;burn out;malade;maladie;arrêt de travail;moral
Déprime,deprime,2.10.0;13.2.0;12.3.0,émotion;dépression ;sentiment;déprime;idées noires;pensées;mental;état;psychologie
Dermatologue,dermatologue,14.1.0;2.19.0;12.3.0,dermatologue;peau;irritations;médecin
Dessiner,dessiner,13.7.0;8.1.0;18.10.0;2.25.0,dessin;peinture;crayon;coloriage
Dessiner et peindre,dessiner_et_peindre,8.1.0,dessiner;dessin;coloriage;papier;crayon
Divorce,divorce,12.2.0,se séparer;séparation;couple;rupture;famille;mariage;PACS
Doigts,doigts,2.17.0,doigts;bagues;doigt
Doliprane liquide,doliprane_liquide,2.1.0,médicament;doliprane;sirop;liquide
Dollars,dollars,15.5.0;3.2.0;10.0.0,argent;payer;mode de paiement;billets;pièces;liquide;dollar;cash;étranger
Précarité,dormir_dans_la_rue,15.8.0;7.1.1,femme;fille;dos; épaule;colonne 
Dos femme,dos_femme,2.17.0,homme;garçon;dos; épaule;colonne 
Dos homme,dos_homme,2.17.0,douche;se laver
Douche,douche,13.3.3;2.2.0;13.3.0,douche;se laver
