pictogram_label,pictogram_file,pictogram_category,pictogram_metadata
Orage,orage,13.5.0,temps;météo;orage;éclair;tonnerre
Orange,orange,1.1.0,orange;fruit
Ordinateur,ordinateur,2.3.0;13.3.5;17.0.0;13.3.0,Ordinateur;numérique;portable;informatique
Oreilles,oreilles,2.17.0;2.14.0;2.13.0,oreilles;écoute;ouîe;entendre;son;écouter
Orthophoniste,orthophoniste,14.1.0;2.19.0;12.3.0,orthophoniste;médecin;language;parler;prononcer;dys;bégailler;béguaillement
Os brisé,os_et_os_brise,2.17.0;2.6.0,os brisé;cassé;fracture;plâtre
Oui,oui,13.6.0,oui;positif;validation;s'exprimer
Ouïe oreille,ouie_oreille,2.14.0,oreilles;écoute;ouîe;entendre;son;écouter;lobe 
Ouïe visage,ouie_visage,2.14.0,oreilles;écoute;ouîe;entendre;son;écouter; visage;droite;gauche;partie;zone;visage
Ouvrir un contenant,ouvrir_un_contenant,13.7.0;5.1.0,ouvrir une boîte;enlever le couvercle;tupperware;bouteille
PACS,pacs,12.2.0,divorce;amour;couple;se marier;PACS;union;famille;enfant;mairie;femme;mari;conjoint;conjointe;épouse;époux
Pansement,pansement,2.5.0;13.3.6;2.1.0;13.3.0,pansements;bobo;blessure;saignement
Parc pour enfants,parc_jardin_pour_enfants,18.2.0;8.2.0;2.25.0,loisirs;jeux extérieur;activités;parc de jeux;jardin;enfants;lieux;balançoire;toboggan;sortie 
Parler,parler,13.7.0;2.25.0;18.7.0,parle;parler;dire des mots;prononcer
Pas content,pas_content,2.10.0;13.2.0;12.3.0,émotion;mécontent;insatisfait; pas content;malheureux
Pas d'écran,pas_d_ecrans,2.29.0,écran;téléphone;lumière;TV;portable;ordinateur;tablette;enfant;yeux;fatigue;lunettes
Pas de bonbon,pas_de_bonbon,17.0.0;1.5.0;18.9.0,pas de sucette;ne pas donner la sucette 
Pas de bonbon,pas_de_bonbon_2,18.9.0;2.29.0,confiserie;prévention;carie;dents;sucre;manger;goûter;gourmandise
Pas de tabac,pas_de_cigarette,2.3.0;17.0.0,ne pas fumer;pas de tabac
Pas de contraception,pas_de_contraception,2.21.0,pas de contraception
Chips,pas_de_nourriture_grasse,1.5.0,gâteau apéritif
Sans papier,pas_de_papier_officiel,12.1.0;12.2.0;15.1.0,sans papier;demandeur d'asile;migrant;étranger;immigré
Soda,pas_de_soda,1.7.0;1.5.0,coca cola;pepsi cola;orangina;schweppes;boisson sucrée;boisson gazeuze;sucre
Viennoiserie,pas_de_sucre,1.5.0,dessert;petit-déjeuner;croissant;pain au chocolat;brioche;chou;chocolatine
Pas de tétine,pas_de_tetine,17.0.0;2.28.0;18.9.0,pas de sucette;ne pas donner la sucette
Pas de trotteur,pas_de_trotteur,17.0.0;18.9.0,trotteur;pied;debout;jambes;marcher;se déplacer;déplacement;bébé;enfant 
Passeport,passeport,3.3.0;15.3.0,passeport;nationalité;pays;document;étranger;immigré;papier administratif;pièce administrative
Pastèque,pasteque,1.1.0,pastèque;fruit
Patate douce,patate_douce,1.1.0,patate douce;féculents
Pâtes,pates,1.8.0,pâtes;féculents
Pédiatre,pediatre,14.1.0;2.19.0;12.3.0,pédiatre;médecin enfant;médical
Peigne et brosse,peigne_et_brosse,2.2.0;13.3.0;13.3.0,peigne;brosse à cheveux;coiffer;hygiène;cheveux
Peluche,peluche,2.25.0;8.1.0;13.3.1;13.3.0,peluche;doudou;bébé;enfant;objet transitionnel
Péridurale,peridurale,16.1.0;2.23.0,péridurale;accouchement;douleur;piqûre
Péridurale Femme enceinte,peridurale_femme_enceinte,16.1.0;2.23.0,accoucher;enceinte;péridurale;grossesse;sage-femme;bébé;naissance;piqûre;seringue;douleur
Périmètre cranien bébé,perimetre_cranien_bebe,18.4.0;18.6.0;2.17.0,tête;enfant;circonférence;mesure;santé
Périmètre de marche,perimetre_de_marche,13.7.0;20.4.0;19.4.0;5.1.0,marcher;se promener;déambuler;sortir dehors;bouger;s'aérer;personne âgée;handicap
Personne précaire,personne_en_situation_de_grande_precarite,12.1.0;12.2.0;15.1.0,personne précaire;situation;instable;emploi;santé;logement;sécurité
Sans papier 2,personne_sans_papier,12.1.0;12.2.0;15.1.0,sans papier;demandeur d'asile;migrant;étranger;immigré
Personnes âgées,personnes_agees,12.1.0;12.2.0;20.0.0,vieux;personne âgée;vieillesse;papi;mamie;grands-parents
Petit pot bébé,petit_pot_bebe,1.4.0;18.1.0,purée ; compote ; petit pot;pot
Petits frères des pauvres,petits_freres_des_pauvres,14.3.0;15.4.0;1.3.0,première nécessité;aide;association;vếtements;manger;se nourrir;demandeur d'asile;sans papier;sans domicile fixe;SDF;migrant
Petits pois,petits_pois,1.1.0,petit pois;légumes
Peur,peur_anxiete,2.10.0;13.2.0;12.3.0,émotion;mental;état;psychologie;sentiment;peur;anxiété;effrayé;stressé;sueur
Pieds femme,pieds_femme,2.17.0,femme;fille;pieds;orteils;talons;plante;marcher;cheville
Pieds homme,pieds_homme,2.17.0,homme;garçon;pieds;orteils;talons;plante;marcher;cheville
Pilule,pilule,2.21.0,pilule;contraception;pilule contraceptive;moyen de contraception
Pilulier,pilulier,13.3.1;20.5.0;2.1.0;13.3.0,médicament;vieux;traitement;médical;personne âgée;maladie;malade
Pipette médicament,pipette_doseur,2.1.0;13.3.1;13.3.0,pipette;médicament
Piscine municipale,piscine_municipale,20.0.0,nager;se baigner;s'amuser;loisir;brasse;crawl;papillon;maillot de bain;serviette de bain;bonnet de bain;douche
Planisphère,planisphere,13.1.0,carthographie;parcours;migration;étapes;pays origine;émigration;planète;monde;globe
Planisphère drapeaux,planisphere_avec_drapeaux,13.1.0;15.2.0,carthographie;parcours;migration;étapes;pays origine;émigration;planète;monde;globe
Planning familial,planning_familial,2.21.0;14.1.0;14.2.0,CPEF;planning familial;grossesse;sexualité;éducation;prévention;jeunes;adolescent
Pleurs bébé,pleurs_bebe,13.2.0,pleurs;bébé;tristesse;larmes
Pluie,pluie,13.5.0,temps;météo;pluie 
Protection Maternelle Infantile,pmi,14.7.0,PMI;protection maternelle infantile;consultation médicale
Protection Maternelle Infantile,pmi_2,14.7.0,consultation;mère;enfant;bébé;puéricultrice;prévention;malade;grossesse;enceinte;infirmière;métropole de lyon
Poids naissance bébé,poids_naissance_bebe,2.16.0;2.9.0,enfant;peser;kilogramme;gramme;santé;médical;nourisson;accouchement
Point d'interrogation,point_d_interrogation,13.6.0,s'exprimer;question;interrogation
Poire,poire,1.1.0,poire;fruit
Poireau,poireau,1.1.0,poireau;légumes
Poisson,poisson,1.6.0;13.9.0,poisson;protéines;saumon
Poivron,poivrons_rouge_vert_jaune,1.1.0,poivron;légumes
Police,police,14.5.0;2.18.0,police;policier;flic;gendarme;gendarmerie
Pommade,pommade,2.1.0;2.5.0;13.3.0,pommade;tube;appliquer;peau
Pomme,pomme,1.1.0,pomme;fruit
Pomme de terre,pomme_de_terre,1.6.0,pomme de terre;patates;féculents
Pompier,pompier,14.5.0;2.18.0,Pompier;urgence;feu 
Porno,porno,2.21.0;17.0.0,Porno;pornographie;film X;sexualité
Portage de repas,portage_de_repas,13.7.0;5.1.0;1.9.0,Se faire livrer;repas à domicile
Porter un appareil auditif,porter_appareil_auditif,2.13.0;13.3.0,audition;entendre;perte de fréquences;malentendant;oreille;écouter
Porter à la bouche,porter_la_fourchette_a_la_bouche,13.7.0;5.1.0;1.9.0,Porter la fourchette à la bouche
Positif/Autoriser,positif_autorise,13.6.0,accepter;positif;autoriser;valider;s'exprimer 
Assis,position_assise,18.6.0;19.2.0;20.1.0,position;assise;assis;chaise;asseoir;repos
Couché,position_couchee,18.6.0;19.2.0;20.1.0,position;allongée;couchée;repos
Debout,position_debout,18.6.0;19.2.0;20.1.0,position;debout;lever;droit;statique;bouger
Poubelle,poubelle,13.3.0;7.1.2;2.2.0;13.3.0,poubelle;déchets;jeter
Poumons bébé,poumons_bebe,2.17.0;18.6.0,poumons;bébé;respiration;toux;resprirer;torse
Poussette,poussette,13.3.1;18.5.0;2.9.0;13.3.0,poussette;bébé;enfant;transport;balade;promenade 
Poux,poux,13.9.0;2.5.0,poux;se gratter la tête
Poux,poux_cheveux,2.2.0;2.5.0,hygiène;soins;bains;se laver;fréquence
Préfecture,prefecture,14.5.0,Préfecture
Préhension,prehension,13.7.0,attraper;préhension;mains
Préservatif,preservatif,2.21.0,contraception;moyen de contraception;préservatif
Printemps,printemps,13.4.0,saison;printemps;calendrier
Prise de sang adulte,prise_de_sang_adulte,2.1.0;2.30.0,Prise de sang
Prise de sang enfant,prise_de_sang_enfant,18.4.0;2.1.0,prise de sang;piqûre;enfant
Prise de tension,prise_de_tension,2.1.0;2.30.0,tension;prise de tension;bras
Prison,prison,2.24.0;14.8.0;15.2.0,prison;détention;bloquer;délit;enfermer
,produits_toxiques,13.3.6;2.29.0;17.0.0;18.9.0;13.3.0,toxique;produit toxique;danger;produits ménagers
Propriétaire,proprietaire,7.1.1;3.6.0;10.0.0;3.2.0,propriétaire;logement;maison;habitat;clés 
Prostitution,prostitution,2.24.0;15.2.0,viol;pute;prostituée;proxénète;illégal;réseau;mafia;sexualité;trafic;esclave;péripathéticienne
Culotte menstruelle,protection_culotte_menstruelle,16.3.0;2.20.0;2.21.0;2.2.0;13.3.0,protection menstruelle;protection hygiènique;culotte menstruelle
Cup hygiénique,protection_cup,16.3.0;2.20.0;2.21.0;2.2.0;13.3.0,protection menstruelle;protection hygiènique;cup
Cup hygiénique,protection_cup_sang,16.3.0;2.20.0;2.21.0;2.2.0,protection menstruelle;protection hygiènique;cup
Serviette hygiénique,protection_serviette_hygienique,16.3.0;2.20.0;2.21.0;2.2.0;13.3.0,protection menstruelle;protection hygiènique;serviette hygiénique
Serviette hygiénique,protection_serviette_hygienique_sang,16.3.0;2.20.0;2.21.0;2.2.0,protection menstruelle;protection hygiènique;serviette hygiénique
Tampon hygénique,protection_tampon,16.3.0;2.20.0;2.21.0;2.2.0;13.3.0,protection menstruelle;protection hygiènique;culotte menstruelle
Tampon hygénique 2,protection_tampon_sang,16.3.0;2.20.0;2.21.0;2.2.0,protection menstruelle;protection hygiènique;culotte menstruelle
Protection urinaire adulte,protection_urinaire_adulte,13.3.3;2.2.0;20.3.0;19.3.0;13.3.0,couche;faire pipi;pisser;urine;vieux;incontinent;personne adule;faire caca;merde;chier
Couche urinaire,protection_urinaire_couche,2.2.0;19.3.0;20.3.0;13.3.1;18.7.0;13.3.0,fuites urinaires;protections;serviettes;urine
Serviette urinaire,protection_urinaire_serviette,16.3.0;2.20.0;2.21.0;2.2.0;13.3.0,fuites urinaires;protections;couches;urine
Psychologue,psychologue,14.1.0;2.19.0;2.10.0;12.3.0,psychologue;psychiatre;psychothérapeute;thérapeute
Psychomotricien,psychomotricien,14.1.0;2.19.0;2.25.0,médical;professionnel;santé;rééducation;corps;psychisme;psychologie;thérapeute;schéma corporel
Psychomotricien,psychomotricien_2,14.1.0;2.19.0;2.25.0,médical;professionnel;santé;rééducation;corps;psychisme;psychologie;thérapeute;schéma corporel
Puce sur lit,puce_de_lit,2.5.0;13.9.0;2.2.0;2.5.0,Logement;insalubrité;insecte;nuisible;matelas;dormir
Puces ,puces,2.5.0;13.9.0;2.2.0;2.5.0,Logement;insalubrité;insecte;nuisible;matelas;dormir
Puéricultrice,puericultrice,14.6.0;2.19.0;7.2.0;12.3.0;18.3.0,infirmière;enfant;bébé;soin
Punaises sur lit,punaises_de_lit,2.5.0;13.9.0;2.2.0;2.5.0,Logement;insalubrité;insecte;nuisible;matelas;dormir
Puzzle,puzzle,2.25.0;8.1.0;13.3.1;13.3.0,loisirs;jeux;activités;puzzles;assembler
Pyjama,pyjama_bebe,2.16.0;2.9.0,vêtement;nuit;dormir;se coucher;se reposer;habit
Quantité de lait,quantite_de_lait_en_poudre,1.4.018.1.0,lait en poudre;quantité;lait;biberon;cuillère doseuse
Quelle adresse email ?,quel_email,13.6.0;3.3.0;15.7.0,adresse email;adresse électronique;mail
Quel numéro de téléphone ?,quel_numero_telephone,13.6.0;3.3.0;15.7.0,numéro de téléphone;numéro de smartphone
Quelle température,quelle_temperature,13.5.0,température;choix;degrés;chaud;froid
Raccrocher,raccrocher_le_telephone,13.7.0;5.1.0,bouton;sonnerie;alarme;décrocher;répondre;prendre un appel;raccrocher;téléphone;portable;ligne téléphonique;appeler;joindre;téléphoner
Raisin,raisin,1.1.0,raisin;fruits;pépins
Rasage,rasage,13.7.0;2.2.0,rasage;se raser;rasoir
Récépissé demande d'asile,recepisse_de_demande_d_asile,15.3.0;3.4.0,récépissé;demande d'asile;migrant;étranger;immigré;document;papier administratif;pièce administrative
Règles douloureuses,regles_douloureuses,2.20.0;16.3.0;2.6.0,règles douloureuses;mal au ventre;douleur au ventre
Régurgitation,regurgitation,2.8.0,régurgitation;biberon;bébé
Repas hâché,repas_hache,1.9.0;20.2.0;19.1.0;18.1.0,repas mixé;repas mouliné;handicap;nourriture;alimentation;plat;personne âgée;vieux
Réseaux sociaux,reseaux_sociaux,17.0.0,Réseaux sociaux;facebook;instagram;twitter;tik tok
Ressources financières,ressources_financieres,15.5.0;3.2.0;10.0.0,argent;échelle;ressources financière;riche;pauvre;paie;payer;euros
Retraité,retraite,"7,3,0;12.3.0",retraité;retraite
Rêve cauchemar bébé,reve_cauchemar,18.4.0;13.2.0;2.10.0,bébé;sommeil;cauchemard;rêve
Réveil,reveil,13.3.0;7.1.2;2.9.0,réveil;horloge;heure;dormir;sommeil;se réveiller;sonnerie
Riz,riz,1.8.0,riz;féculents
S'habiller seul ,s_habiller_seul,13.7.0;2.16.0,vêtements;s'habiller seul;autonomie 
Sage-femme,sage_femme,16.1.0;2.23.0;2.19.0;12.3.0,accoucher;professionnel;santé;enceinte;grossesse;médical;nouveau-né;bébé;naissance
Saisons,saisons,13.4.0,saisons;printemps;été;automne;hiver
Salle de bain,salle_de_bain,13.3.0;7.1.2;2.2.0;13.3.0;13.3.4,se laver;hygiène;appartement;maison;pièce;eau;douche;baignoire;évier;savon
SAMU,samu,14.1.0;2.19.0,Service d'urgence;SAMU; urgence médicale : 
Ne travaille pas,sans_emploi,"7,3,0;12.3.0",ne travaille pas;au chomâge;sans emploi
Sans porc,sans_porc,1.6.0,halal;pas de cochon;régime alimentaire;islam;musulman;alimentation;nourriture
Scolarité,scolarite,7.2.0;18.3.0,Scolarité;école;lycée;maternelle;université;fac;collège
Se laver dans une baignoire,se_laver_baignoire,2.2.0;13.7.0,hygiène;nettoyer;propre;savon;shampoing;cheveux;baignoire; bain;eau
Se laver à la douche,se_laver_douche,2.2.0;13.7.0,hygiène;nettoyer;propre;savon;shampoing;cheveux;douche;baignoire;lavabo
Se laver au gant,se_laver_gant,2.2.0;13.7.0,hygiène;nettoyer;propre;savon;shampoing;cheveux;douche;baignoire;lavabo;évier
Se laver au lavabo,se_laver_lavabo,2.2.0;13.7.0,hygiène;nettoyer;propre;savon;shampoing;cheveux;douche;baignoire;lavabo;évier
Se lever du lit,se_lever_du_lit,13.7.0;5.1.0;2.30.0,lit;dormir; sommeil;se lever;couchage;position;se réveiller;debout
Se mettre au lit,se_mettre_au_lit,13.7.0;5.1.0;2.30.0,lit;dormir; sommeil;se coucher;couchage;position
Se promener,se_promener,8.1.0;13.7.0,se balader;nature;forêt;paysage;marcher;santé;sport
Secours populaire,secours_populaire_francais,14.3.0;15.4.0;1.3.0,première nécessité;aide;association;vếtements;manger;se nourrir;demandeur d'asile;sans papier;sans domicile fixe;SDF;migrant
Selles de couleur,selles_de_couleurs,2.8.0,caca;selles;couleurs;digestion;couches;besoins
Séquestration,sequestration,2.24.0;15.2.0,séquestration;kdnapping;séquestré;kidnappé;violence
Sérum physiologique,serum_physiologique_pipette_nez,2.2.0;18.4.0,sérum physiologique;eau salée;nettoyage;nez;soins;pipette
Siège-auto bébé,siege_auto_bebe,13.3.1;18.5.0;2.9.0;13.3.0,cosy;transport : voiture;siège auto;enfant;bébé
Faire le silence,silence,2.13.0;13.7.0,bruit;silence;berceuse
Sirop médicament,sirop_medicament,2.1.0;13.3.0,médicament;sirop;liquide
Smartphone,smartphone,13.3.5;13.3.0,Smartphone;téléphone;portable
Smartphone,smartphone_telephone,13.3.5;13.3.0,Smartphone;téléphone;portable
Soda,soda,1.7.0;1.5.0,coca cola;pepsi cola;orangina;schweppes;boisson sucrée;boisson gazeuze;sucre
Soleil,soleil,13.5.0,soleil;temps;météo;beau
Nuage et soleil,soleil_et_nuage,13.5.0,temps;météo;nuageux
Solitude,solitude,2.10.0;13.2.0;12.3.0,solitude;seul;solitaire
Soupe,soupe,1.7.0,soupe;texture lisse;légumes;mouliné;velouté
Boisson soupe,boisson_soupe,1.7.0,soupe;texture lisse;légumes;mouliné;velouté
Soutien de l'entourage,soutien_de_l_entourage,5.3.0;15.5.0;19.4.0,entourage;soutien;être entouré
Stade de la grossesse,stade_de_la_grossesse_echelle,2.22.0;16.4.0;16.1.0;2.23.0;13.8.0,grossesse;stade;mois;étapes;échographies
Stade de lecture ,stade_de_lecture,18.4.0;2.25.0,lire;lecture;savoir lire
Echelle stade de lecture,stade_de_lecture_echelle,18.4.0;2.25.0,lire;lecture;savoir lire
Stérilet,sterilet,2.21.0,stérilet;moyen de contraception
Suppositoire enfant,suppositoire,2.1.0;18.4.0,suppositoire;médicament;voie réctale
Symbole d'accueil accompagnement et accessibilité handicap,symbole_accueil_handicap_s3A,2.27.0;12.1.0;13.10.0;13.10.0;13.3.9,handicapé;invalide;situation de handicap;sourd;muet;aveule;non voyant;malvoyant;fauteuil roulant
Tablette numérique,tablette_numerique,13.3.0;7.1.2;8.1.0;13.3.5,enfant;écran;tablette;numérique;portable;smartphone;TV;jeux
Taille naissance bébé,taille_naissance_bebe,2.16.0;2.9.0,enfant;mesurer;grandir;centimètre;nourisson;santé;accouchement : médical
Tapis de jeu,tapis_de_jeu,13.3.1;2.25.0;8.1.0;13.3.0,jouer;enfant;bébé;parent;s'amuser;par terre
Taxe foncière,taxe_fonciere,15.3.0;3.6.0,taxe foncière;avis d'imposition
TCL,tcl,14.6.0;3.1.0,Transport en commun;Transport en commun lyonnais;tcl;técély
TV chambre enfant,tele_dans_chambre_enfant,17.0.0;2.9.0;18.9.0,télévison;chambre enfant;écran
Téléassistance,teleassistance,2.11.0;2.19.0;20.3.0;19.3.0;19.4.0;20.4.0,aide;alerte;secours;personne âgée;handicap;sécurité;avertir;accident
Téléphone,telephone_qui_sonne,13.3.5;13.3.0,appeler;smartphone;whattsapp;contacter;se joindre;ami;numéro;réseau;opérateur
TV cuisine,television_dans_la_cuisine,13.3.0;8.1.0,télévision;cuisine;écran
Bonne température,temperature,2.30.0;2.6.0,température;dégrés;thermométre;chaud;froid
Température bain enfant,temperature_bain_enfant,2.2.0;17.0.0;18.9.0,température bain enfant;bain;soin;eau chaude;37
Tester température lait,temperature_biberon,16.2.0;18.1.0,température;biberon;tester;chaud;bruler
Température air,temperature_de_l_air,13.5.0,température;pièce;air;degrés;chaud;froid
Température eau bébé,temperature_de_l_eau,2.29.0;18.9.0;2.2.0,baignoire;bébé;laver;bain;toilette;soins;température;chaud;froid;thermomètre
Température lit bébé,temperature_sommeil_bebe,2.9.0;18.4.0,chambre bébé;bébé ;lit;température;turbulette
Tente,tente,7.1.1;7.1.5;15.8.0,tente;habitat;logement;maison;abris
Vêtements été,tenue_ete,2.16.0;18.8.0;13.3.8;13.3.0,vêtements;habillage;été;chaud;casquette;soleil ; chaleurs
Habillement,tenue_hiver,13.3.0;13.4.0;13.3.8;18.8.0;2.16.0;11.0.0,vêtements;habillage; hiver;froid;pull;manteau;gants;bonnets
Vêtements mi-saison,tenue_mi_saison,2.16.0;18.8.0;13.3.8;13.3.0,vêtements;habillage;mi-saison
Test sang doigts,test_sang_au_bout_du_doigt,2.30.0,test;sang;doigts;piqûre
Buste femme,tete_femme,2.17.0,fille;corps
Buste femme,tete_homme,2.17.0,fille;corps
Tétine,tetine,13.3.1;18.5.0;13.3.0,tétine;sucette
Tire-lait,tire_lait,"1.4.0;1.2.0;18.1.0;16.2.0;13,3,1",allaitement;tire-lait;biberon;alimentation bébé
Titre de séjour,titre_de_sejour,15.3.0,titre de séjour;carte de séjour;immigré;étranger;document;papier; papier administratif;pièce administrative
Tomate,tomate,1.1.0,tomate;légumes;fruits
Toucher,toucher,2.14.0,toucher;mains;doigts;surface;peau;texture
"
Toucher 3",toucher_3,2.14.0,toucher;mains;doigts;surface;peau;texture
"
Toucher 2",toucher_avec_la_main,2.14.0,yeux;regarder;oeil;lunettes;lentilles;ophtalomogue;pupilles;iris;cils
Train,train,7.4.0;15.2.0;13.3.7;13.3.0,Train;SNCF
Tribunal,tribunal,14.5.0;2.24.0;14.8.0;15.2.0,tribunal;justice;parquet;tribunal de justice;loi
Tristesse,tristesse,2.10.0;13.2.0;12.3.0,émotion;mental;état;psychologie;tristesse;pleurs;larmes;sentiment
Trotteur,trotteur,7.4.0;8.1.0;13.3.7;13.3.0;13.3.1;18.5.0;2.25.0,trotteur;pied;debout;jambes;marcher;se déplacer;déplacement;bébé;enfant 
Trottinette,trottinette,7.4.0;8.1.0;13.3.7;13.3.0;13.3.1;18.5.0;2.25.0,jeu;transport;jouer;se déplacer;déplacement
Type d'habitat,type_d_habitat,7.1.1,maison;immeuble;sédentaire;mobile;sans domicile fixe
Urine de couleur,urines_de_couleurs,2.8.0,urines;couleurs;couches
Vaccins adulte,vaccin_adulte,2.1.0;2.30.0,vaccin;piqûre;seingue;injection;tétanos;hépatite;bcg
Vaccin enfant,vaccin_enfant,2.1.0;18.4.0,vaccin;piqûre;seingue;injection;tétanos;hépatite;bcg
Vache,vache,1.6.0;13.9.0,vache;animal;boeuf
Vapoteur,vapoteur,2.3.0;17.0.013.3.0,Vapoteur;vapoteuse;cigarette électronique
Varicelle,varicelle_sur_bebe,2.5.0;18.4.0;18.6.0,varicelle;bouton;se gratter;maladie
Vegan,vegan,1.1.0,végétal;végétarien;végétalien;sans viande;sans oeuf;sans produit laitier;sans lait;sans lactose;sans produit animal
Végétarien,vegetarien,1.9.0,végétal;végétarien;sans viande
Veilleuse bébé,veilleuse_bebe,18.5.0;18.10.0;13.3.0;2.9.0,enfant;dormir;dodo;s'endormir;calmer
Vélo,velo,7.4.0;13.3.1;13.3.7;13.3.0,Vélo ;Deux roues;cycle
Vélo petites roulettes,velo_a_petites_roulettes,13.3.1;2.25.0;8.1.0;13.3.0,enfant;vélo;déplacement;jouet;balade;promenade;bicyclette;roues;roulettes 
Ventoline,ventoline,13.3.1;13.3.0,ventoline;respiration;asthme
Verre,verre,13.3.0;7.1.2;1.9.0;19.1.0;20.2.0,verre;boire;eau;à table;s'hydrater ;repas
Veuf veuve,Veuf_veuve,12.1.0;12.2.0;16.0.0,mort;décès;décédé;morte;vieux;enterrement
Viande,viandes,1.6.0,viande;poulet;boeuf;protéines
Viennoiserie,viennoiserie,1.5.0,viennoiseries;gateaux;sucre
Viol,viol,2.24.0;15.2.0,agression sexuelle;traumatisme;victime;agresseur;pédophile;violence;intrusion
Violence physique,violences_physique,2.24.0;15.2.0,frapper;se battre;agresseur;victime;coup;blessure;faire mal;combattre;bleus;blessure
Violence psychologique,Violences_psychologiques,2.24.0;15.2.0,agresseur;victime;pervers narcissique;insulte;intrusion;perversion
Violence psychologique 2,Violences_psychologiques_insultes,2.24.0;15.2.0,agresseur;victime;pervers narcissique;insulte;intrusion;perversion
Violence parent enfant,violences_sur_enfant,2.24.0,frapper;se battre;agresseur;victime;coup;blessure;faire mal;combattre;bleus;blessure;famille
Visage,visage,2.17.0,visage;face;yeux;front;joues;nez;menton;bouche;oreilles
Visage,visage_seul,2.17.0,tête;nez;bouche;yeux;oreille;crâne
Vit à la campagne,vit_campagne,7.1.5;7.1.1,nature;forêt;habiter;maison;jardin
Vit en ville,vit_en_ville,7.1.5;7.1.1,cité;urbain;citadin;immeuble;habiter
Cadre et habitude de vie,vit_en_ville,7.1.1;7.1.5;15.8.0,
Voir bien,voir_bien,2.13.0;2.30.0,vue;vision;oeil
Voit mal,voir_mal,2.13.0;2.30.0,vue;regarder;malvoyant;voir;yeux;flou;canne;lunettes;lentilles de contact
Voisins,voisins,7.1.5;12.3.0,ami;locataire;maison;immeuble;ensemble;habiter;palier
Voisins,voisins_2,7.1.5,ami;locataire;maison;immeuble;ensemble;habiter;palier
Voiture,voiture,7.4.0;15.2.0;13.3.7;13.3.0,Voiture;automobile
Vol,vol_d_objet,2.24.0,vol;voler;dérober;cambriolage;brigand
Vue yeux,vue_oeil,2.14.0,yeux;regarder;oeil;lunettes;lentilles;ophtalomogue;pupilles;iris;cils
Vue visage,vue_visage,2.14.0,yeux;partie;zone;visage;regarder;oeil;lunettes;lentilles;ophtalomogue
WC,wc,13.3.0;7.1.2;2.2.0,wc;toilettes
Yaourt,yaourt,1.2.0,yaourt;laitage;fromage blanc
Yaourt vache chèvre,yaourt_de_vache_et_de_chevre,1.2.0,yaourt;allergie;laitage;vache;chèvre